bibtex_key,company_name,hq_city
TeleStrategies,TeleStrategies,McLean
Almenta,Almenta,Philadelphia
Cepia-Technologies,Cepia Technologies,Brno
Dyplex-Communications,Dyplex-Communications,Toronto
Invesys,Invesys,Montbronn
Wirex,Wirex,Yahud Monoson
LJM-Tech-Support,LJM Tech Support,Ingre
Etelm,Etelm,Villejust
Rinicom_Ltd,Rinicom Ltd,Lancaster
Phantom_Technologies,Phantom Technologies,Petah Tikva
Laboratory_PPS,Laboratory PPS,St Petersburg
Newtec,Newtec,Sint-Niklaas
SIGNAL-T,SIGNAL-T,St Petersburg
SAS_Institute_Inc,SAS Institue Inc,Cary
secunet_Security_Networks_AG,secunet Security Networks AG,Essen
VERISIS,VERISIS,Ankara
mh_Service_GmbH,mh Service GmbH,Karlsruhe
Surete_Globale,Surete Globale,Angers
Passware,Passware,Mountain View
Ultra_Electronics_Advanced_Tactical_Systems,Ultra Electronics Advanced Tactical Systems,Austin
Oxygen_Forensics,Oxygen Forensics,Alexandria
Wintego,Wintego,Yoqneam
Spikenet_Technology,Spikenet Technology,Ramonville-Saint-Agne
Irisat,Irisat,Mexico City
Comlab,Comlab,Bern
Blighter_Surveillance_Systems,Blighter Surveillance Systems,Great Chesterford
GR-Sistemi,GR Sistemi,Arcore
FinFisher,FinFisher,Munich
Frontline,Frontline,Charlottesville
NSO-Group,NSO Group,Herzliya
Elbit,Elbit,Haifa
Siltec,Siltec,Warsaw
IZT,IZT,Erlangen
Rheinmetall-Defence,Rheinmetall Defence,Dusseldorf
Network_Instruments,Network Instruments,Minnetonka
GL-Communications,GL Communications,Gaithersburg
AirMagnet,AirMagnet,Everett
Advanced-German-Technology,Advanced German Technology,Berlin
Silicom,Silicom,Kfar Sava
Erebus,Erebus,Hereford
Cellxion,Cellxion,Caterham
XAD_Communications,XAD Communications,Bristol
Nokia,Nokia,Espoo
View_Systems,View Systems,Baltimore
One_Digital,One Digital,Northampton
PKi_Electronic_Intelligence,PKi Electronic Intelligence,Hamburg
Tar_Ideal_Concepts,Tar Ideal Concepts,Tel Aviv
Komcept_Solutions,Komcept Solutions,Northampton
LongHope_Police_Equipment,LongHope Police Equipment,Beijing
AVTech,AVTech,Taipei
TTC_Telekomunikace,TTC Telekomunikace,Prague
High_Tech_Communications_Services,High Tech Communication Services,Paris
Finmeccanica,Finmeccanica,Rome
Sonic_Communications,Sonic Communications,Birmingham
Advanced_Research_and_Technology,Advanced Research and Technology,Nottingham
MGT_Europe,MGT Europe,Borehamwood
BCB-International,BCB International,Cardiff
Cosworth,Cosworth,Northampton
WireOnAir,WireOnAir,Copenhagen
Sure,Sure,Bingham
Security_Research,Security Research,London
Harris-Tech,Harris Tech,Perth
Midland,Midland,Reggio Emilia
Megablue_Technologies,Megablue Technologies,Runcorn
Anritsu,Anritsu,Okinawa
United_Advanced_Technologies_International,United Advanced Technologies International,London
Torchlight,Torchlight,Swindon
Proline,Proline,Istanbul
CTech,CTech,Kocaeli
AGI,AGI,Exton
